uid,label,voice_opp_num_unique_count,voice_opp_num_count,voice_opp_head_unique_count,voice_opp_len_3,voice_opp_len_5,voice_opp_len_6,voice_opp_len_7,voice_opp_len_8,voice_opp_len_9,voice_opp_len_10,voice_opp_len_11,voice_opp_len_12,voice_opp_len_13,voice_opp_len_14,voice_opp_len_15,voice_opp_len_16,voice_opp_len_17,voice_opp_len_18,voice_opp_len_19,voice_opp_len_20,voice_opp_len_21,voice_opp_len_22,voice_opp_len_25,voice_call_len_1,voice_call_len_2,voice_call_len_3,voice_call_len_4,voice_call_len_5,voice_in_out_0,voice_in_out_1,voice_time_less_than_1min,voice_time_1min_to_2min,voice_time_2min_to_3min,voice_time_3min_to_4min,voice_time_4min_to_5min,voice_time_5min_to_6min,voice_time_6min_to_7min,voice_time_7min_to_8min,voice_time_8min_to_9min,voice_time_9min_to_10min,voice_time_10min_to_30min,voice_time_30min_to_60min,voice_time_more_than_60min,sms_opp_num_unique_count,sms_opp_num_count,sms_opp_head_unique_count,sms_opp_len_2,sms_opp_len_3,sms_opp_len_4,sms_opp_len_5,sms_opp_len_6,sms_opp_len_7,sms_opp_len_8,sms_opp_len_9,sms_opp_len_10,sms_opp_len_11,sms_opp_len_12,sms_opp_len_13,sms_opp_len_14,sms_opp_len_15,sms_opp_len_16,sms_opp_len_17,sms_opp_len_18,sms_opp_len_19,sms_opp_len_20,sms_in_out_0,sms_in_out_1,wa_name_unique_count,wa_name_count,wa_visit_cnt_std,wa_visit_cnt_max,wa_visit_cnt_min,wa_visit_cnt_median,wa_visit_cnt_mean,wa_visit_cnt_sum,wa_visit_dura_std,wa_visit_dura_max,wa_visit_dura_min,wa_visit_dura_median,wa_visit_dura_mean,wa_visit_dura_sum,wa_up_flow_std,wa_up_flow_max,wa_up_flow_min,wa_up_flow_median,wa_up_flow_mean,wa_up_flow_sum,wa_down_flowstd,wa_down_flowmax,wa_down_flowmin,wa_down_flowmedian,wa_down_flowmean,wa_down_flowsum
u0011,0,41.0,227.0,19.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,1.0,0.0,0.0,0.0,133.0,94.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,169,1148,84.09556515471168,792.0,1.0,4.0,34.02090592334495,39056.0,94545.26350509045,1230085.0,0.0,5631.5,38830.79616724739,44577754.0,1298792.5280097143,33152266.0,0.0,5772.0,173824.38240418117,199550391.0,13003671.144191166,346092306.0,0.0,11541.0,1342567.8832752614,1541267930.0
u0012,0,123.0,302.0,38.0,0.0,5.0,0.0,0.0,2.0,0.0,6.0,284.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,15.0,40.0,0.0,0.0,123.0,179.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,14.0,187.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,11.0,1.0,170.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,151.0,258,1655,80.11481688964979,916.0,1.0,4.0,29.10151057401813,48163.0,106518.86880374783,1194803.0,0.0,5107.0,38149.30453172205,63137099.0,463789.86290549673,12324452.0,0.0,5735.0,104211.59697885196,172470193.0,2810321.6332158493,60102042.0,0.0,16293.0,624227.5274924472,1033096558.0
u0013,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,227,1433,55.09136406999316,721.0,1.0,4.0,23.35380321004885,33466.0,68555.67188676496,924451.0,0.0,4543.0,27801.955338450804,39840202.0,480508.7662830778,14764223.0,0.0,5626.0,85832.7083042568,122998271.0,2395661.815870586,40561150.0,0.0,10390.0,483554.8988136776,692934170.0
u0014,0,48.0,151.0,21.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,144.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,16.0,2.0,0.0,0.0,69.0,82.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,9.0,95.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,87.0,250,1312,73.35437350172431,1141.0,1.0,3.0,23.239329268292682,30490.0,97704.985982388,1370441.0,0.0,3145.5,29135.56631097561,38225863.0,397517.78056940937,5376704.0,0.0,3759.0,85905.34222560975,112707809.0,8289316.405666718,103558248.0,0.0,7180.0,1471775.9260670731,1930970015.0
u0015,0,48.0,81.0,32.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,76.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,4.0,0.0,0.0,2.0,79.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,2.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,61,286,28.566608953435747,259.0,1.0,4.0,10.038461538461538,2871.0,60940.14671383285,532088.0,0.0,5624.5,19844.286713286714,5675466.0,283231.5132457006,2837380.0,0.0,1159.0,51648.143356643355,14771369.0,804685.1918421241,13470274.0,0.0,0.0,62543.031468531466,17887307.0
u0016,0,92.0,291.0,28.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,268.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,4.0,10.0,0.0,0.0,126.0,165.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,8.0,89.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,26.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,84.0,162,827,38.71990911956042,461.0,1.0,3.0,16.259975816203145,13447.0,51181.667298517015,416254.0,0.0,3064.0,21016.505441354293,17380650.0,423908.60261938407,9347440.0,0.0,2425.0,72477.44135429262,59938844.0,6674621.360308942,97779014.0,0.0,4971.0,1111813.529625151,919469789.0
u0017,0,19.0,43.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,14.0,0.0,0.0,0.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,47.0,162,841,48.15093911973293,476.0,1.0,3.0,20.705112960761,17413.0,54429.19611979717,541948.0,0.0,4342.0,23522.32936979786,19782279.0,6124349.641635531,175768007.0,0.0,3867.0,293082.60760998813,246482473.0,4310349.139254561,114554427.0,0.0,7494.0,539007.548156956,453305348.0
u0018,0,29.0,178.0,17.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,156.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,12.0,0.0,0.0,0.0,58.0,120.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,3.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,6,6,2.857738033247041,7.0,1.0,1.0,2.8333333333333335,17.0,7552.9556510459315,20472.0,0.0,6000.5,6799.333333333333,40796.0,8529.647980231462,21074.0,88.0,420.5,5173.666666666667,31042.0,7415.0545963375525,16920.0,53.0,266.0,4835.666666666667,29014.0
u0019,0,155.0,647.0,38.0,1.0,26.0,0.0,1.0,14.0,0.0,3.0,481.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,0.0,4.0,0.0,0.0,400.0,247.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,12.0,106.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,14.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,67.0,199,1230,90.32572071471812,1238.0,1.0,4.0,33.33577235772358,41003.0,117873.00876387779,1771725.0,0.0,4562.0,40438.49674796748,49739351.0,406847.76724393805,7441346.0,0.0,4052.0,90495.60894308944,111309599.0,10107743.392155198,245833520.0,0.0,6075.5,882984.1544715447,1086070510.0
u0020,0,56.0,315.0,22.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,274.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,2.0,0.0,0.0,112.0,203.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,8.0,76.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,65.0,163,883,47.56606592575317,648.0,1.0,3.0,18.528878822197054,16361.0,57410.47636229529,764202.0,0.0,3470.0,21254.482446206115,18767708.0,1501043.635923527,44185367.0,0.0,2918.0,99577.1302378256,87926606.0,3777547.3636669405,95287165.0,0.0,4761.0,564815.6432616082,498732213.0
u0021,0,7.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,1,,1.0,1.0,1.0,1.0,1.0,,5606.0,5606.0,5606.0,5606.0,5606.0,,1544.0,1544.0,1544.0,1544.0,1544.0,,1942.0,1942.0,1942.0,1942.0,1942.0
u0022,0,6.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,5.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,39.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,136,548,107.7096193220621,1716.0,1.0,2.0,23.094890510948904,12656.0,162928.28982794238,2762246.0,0.0,2133.5,30442.266423357665,16682362.0,554735.8820514614,8539196.0,0.0,2366.5,91670.1313868613,50235232.0,6535089.6329713715,116106651.0,0.0,4696.5,1061661.3120437956,581790399.0
u0023,0,4.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,5.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,56,385,60.928461617416,469.0,1.0,6.0,29.187012987012988,11237.0,101364.25486031607,782684.0,0.0,9575.0,45610.844155844155,17560175.0,266769.9727592686,2308126.0,0.0,9602.0,92318.7012987013,35542700.0,1052509.3228267173,13331383.0,0.0,20875.0,347743.22597402596,133881142.0
u0024,0,143.0,653.0,37.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,613.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,11.0,27.0,0.0,0.0,254.0,399.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,10.0,184.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,168.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,123.0,194,1388,55.7674007392547,605.0,1.0,3.0,22.454610951008647,31167.0,74468.70287280838,969300.0,0.0,4056.5,27606.825648414986,38318274.0,3018940.64168698,112045080.0,0.0,4494.5,149524.9704610951,207540659.0,4378021.346700491,121888235.0,0.0,6920.0,568931.1469740634,789676432.0
u0025,0,181.0,723.0,35.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,698.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,81.0,116.0,0.0,0.0,350.0,373.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.0,24.0,203.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,175.0,138,759,96.76511704304635,857.0,1.0,4.0,37.015810276679844,28095.0,113315.3088624286,1134966.0,0.0,4762.0,40247.046113306984,30547508.0,318935.0987306882,3899084.0,0.0,4660.0,92464.28985507246,70180396.0,5898611.873903901,84972050.0,0.0,7055.0,1258904.1765480896,955508270.0
u0026,0,61.0,521.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,517.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,1.0,55.0,0.0,0.0,277.0,244.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,23.0,134.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,88.0,284,1228,79.98953635338289,1168.0,1.0,3.0,24.153908794788272,29661.0,107807.57184258092,1640801.0,0.0,4005.0,30146.064332247555,37019367.0,2545748.6982796174,58814585.0,0.0,2831.5,199689.55781758958,245218777.0,6998707.457710076,211787916.0,0.0,4468.0,649517.6229641694,797607641.0
u0027,0,265.0,1618.0,44.0,0.0,7.0,0.0,0.0,8.0,2.0,5.0,1459.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.0,130.0,13.0,0.0,0.0,845.0,773.0,1618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618.0,22.0,121.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,90.0,274,1865,60.22069968835198,719.0,1.0,3.0,20.578016085790885,38378.0,73275.53281866114,943633.0,0.0,3317.0,23760.597319034852,44313514.0,217982.9385052186,6227581.0,0.0,2944.0,43969.217694369974,82002591.0,1646319.513237989,40967804.0,0.0,4338.0,274771.1179624665,512448135.0
u0028,0,42.0,323.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,286.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,34.0,70.0,0.0,0.0,133.0,190.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,8.0,96.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,32.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,92.0,101,714,93.10172899684437,1039.0,1.0,5.0,33.8109243697479,24141.0,148020.16419607511,2001972.0,0.0,6631.5,48457.6456582633,34598759.0,5265766.711298051,70250683.0,0.0,5448.5,718733.6484593838,513175825.0,20909742.64285529,505603302.0,0.0,4745.0,2196650.219887955,1568408257.0
