uid,label,voice_opp_num_unique_count,voice_opp_num_count,voice_opp_head_unique_count,voice_opp_len_3,voice_opp_len_5,voice_opp_len_6,voice_opp_len_7,voice_opp_len_8,voice_opp_len_9,voice_opp_len_10,voice_opp_len_11,voice_opp_len_12,voice_opp_len_13,voice_opp_len_15,voice_opp_len_16,voice_call_len_1,voice_call_len_2,voice_call_len_3,voice_in_out_0,voice_in_out_1,voice_time_less_than_1min,voice_time_more_than_60min,sms_opp_num_unique_count,sms_opp_num_count,sms_opp_head_unique_count,sms_opp_len_5,sms_opp_len_7,sms_opp_len_8,sms_opp_len_9,sms_opp_len_10,sms_opp_len_11,sms_opp_len_12,sms_opp_len_13,sms_opp_len_14,sms_in_out_0,sms_in_out_1,wa_name_unique_count,wa_name_count,wa_visit_cnt_std,wa_visit_cnt_max,wa_visit_cnt_median,wa_visit_cnt_mean,wa_visit_cnt_sum,wa_visit_dura_std,wa_visit_dura_max,wa_visit_dura_min,wa_visit_dura_median,wa_visit_dura_mean,wa_visit_dura_sum,wa_up_flow_std,wa_up_flow_max,wa_up_flow_min,wa_up_flow_median,wa_up_flow_mean,wa_up_flow_sum,wa_down_flowstd,wa_down_flowmax,wa_down_flowmin,wa_down_flowmedian,wa_down_flowmean,wa_down_flowsum,sms_in_out_diff,voice_in_out_diff,voice_opp_num_unique_count_ratio,voice_opp_len12_ratio,voice_call_len1andlen3_ratio,sms_opp_len11andlen13_ratio,mean_diff_wa_up_and_wa_down
u0011,0,41.0,227.0,19.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,226.0,1.0,0.0,133.0,94.0,227.0,227.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,169,1148,84.09556515471168,792.0,4.0,34.02090592334495,39056.0,94545.26350509044,1230085.0,0.0,5631.5,38830.79616724739,44577754.0,1298792.5280097143,33152266.0,0.0,5772.0,173824.38240418115,199550391.0,13003671.144191165,346092306.0,0.0,11541.0,1342567.8832752614,1541267930.0,0.6,0.17180616740088106,0.18061674008810572,0.0,1.9911894273127753,0.8,-1168743.5008710802
u0012,0,123.0,302.0,38.0,0.0,5.0,0.0,0.0,2.0,0.0,6.0,284.0,5.0,0.0,0.0,0.0,247.0,15.0,40.0,123.0,179.0,302.0,302.0,14.0,187.0,10.0,2.0,0.0,2.0,11.0,1.0,170.0,1.0,0.0,0.0,36.0,151.0,258,1655,80.1148168896498,916.0,4.0,29.101510574018132,48163.0,106518.86880374783,1194803.0,0.0,5107.0,38149.30453172205,63137099.0,463789.86290549673,12324452.0,0.0,5735.0,104211.59697885196,172470193.0,2810321.6332158493,60102042.0,0.0,16293.0,624227.5274924472,1033096558.0,-0.6149732620320856,-0.18543046357615894,0.40728476821192056,0.016556291390728478,1.6357615894039734,0.9090909090909091,-520015.93051359523
u0013,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,227,1433,55.091364069993155,721.0,4.0,23.353803210048852,33466.0,68555.67188676496,924451.0,0.0,4543.0,27801.955338450807,39840202.0,480508.7662830778,14764223.0,0.0,5626.0,85832.7083042568,122998271.0,2395661.815870586,40561150.0,0.0,10390.0,483554.8988136776,692934170.0,-1.0,-1.0,1.0,0.0,2.0,1.0,-397722.1905094208
u0014,0,48.0,151.0,21.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,144.0,4.0,0.0,0.0,0.0,133.0,16.0,2.0,69.0,82.0,151.0,151.0,9.0,95.0,7.0,0.0,0.0,3.0,16.0,0.0,76.0,0.0,0.0,0.0,8.0,87.0,250,1312,73.35437350172431,1141.0,3.0,23.23932926829268,30490.0,97704.98598238801,1370441.0,0.0,3145.5,29135.56631097561,38225863.0,397517.78056940937,5376704.0,0.0,3759.0,85905.34222560974,112707809.0,8289316.405666717,103558248.0,0.0,7180.0,1471775.9260670731,1930970015.0,-0.8315789473684211,-0.08609271523178808,0.31788079470198677,0.026490066225165563,1.7615894039735098,0.8,-1385870.5838414633
u0015,0,48.0,81.0,32.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,76.0,2.0,0.0,0.0,0.0,77.0,0.0,4.0,2.0,79.0,81.0,81.0,2.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,30.0,61,286,28.56660895343575,259.0,4.0,10.038461538461537,2871.0,60940.14671383285,532088.0,0.0,5624.5,19844.286713286718,5675466.0,283231.51324570057,2837380.0,0.0,1159.0,51648.14335664336,14771369.0,804685.1918421241,13470274.0,0.0,0.0,62543.031468531466,17887307.0,-1.0,-0.9506172839506173,0.5925925925925926,0.024691358024691357,1.9012345679012346,1.0,-10894.888111888104
u0016,0,92.0,291.0,28.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,268.0,19.0,0.0,0.0,0.0,277.0,4.0,10.0,126.0,165.0,291.0,291.0,8.0,89.0,6.0,0.0,0.0,0.0,10.0,0.0,26.0,53.0,0.0,0.0,5.0,84.0,162,827,38.71990911956042,461.0,3.0,16.259975816203145,13447.0,51181.667298517015,416254.0,0.0,3064.0,21016.505441354293,17380650.0,423908.60261938407,9347440.0,0.0,2425.0,72477.44135429263,59938844.0,6674621.360308942,97779014.0,0.0,4971.0,1111813.5296251508,919469789.0,-0.8876404494382022,-0.13402061855670103,0.3161512027491409,0.06529209621993128,1.9037800687285222,0.29213483146067415,-1039336.0882708582
u0017,0,19.0,43.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,12.0,0.0,0.0,0.0,29.0,14.0,0.0,23.0,20.0,43.0,43.0,5.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,30.0,0.0,8.0,47.0,162,841,48.15093911973293,476.0,3.0,20.705112960761,17413.0,54429.19611979717,541948.0,0.0,4342.0,23522.329369797862,19782279.0,6124349.641635532,175768007.0,0.0,3867.0,293082.6076099881,246482473.0,4310349.139254562,114554427.0,0.0,7494.0,539007.548156956,453305348.0,-0.7090909090909091,0.06976744186046512,0.4418604651162791,0.27906976744186046,1.3488372093023255,1.0,-245924.9405469679
u0018,0,29.0,178.0,17.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,156.0,17.0,0.0,0.0,0.0,166.0,12.0,0.0,58.0,120.0,178.0,178.0,3.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,30.0,0.0,3.0,39.0,6,6,2.857738033247041,7.0,1.0,2.833333333333333,17.0,7552.9556510459315,20472.0,0.0,6000.5,6799.333333333332,40796.0,8529.647980231462,21074.0,88.0,420.5,5173.666666666667,31042.0,7415.0545963375525,16920.0,53.0,266.0,4835.666666666667,29014.0,-0.8571428571428571,-0.34831460674157305,0.16292134831460675,0.09550561797752809,1.8651685393258426,1.0,338.0
u0019,0,155.0,647.0,38.0,1.0,26.0,0.0,1.0,14.0,0.0,3.0,481.0,121.0,0.0,0.0,0.0,643.0,0.0,4.0,400.0,247.0,647.0,647.0,12.0,106.0,8.0,2.0,0.0,1.0,14.0,0.0,89.0,0.0,0.0,0.0,39.0,67.0,199,1230,90.32572071471813,1238.0,4.0,33.33577235772358,41003.0,117873.00876387779,1771725.0,0.0,4562.0,40438.49674796748,49739351.0,406847.7672439381,7441346.0,0.0,4052.0,90495.60894308944,111309599.0,10107743.392155198,245833520.0,0.0,6075.5,882984.1544715447,1086070510.0,-0.2641509433962264,0.23647604327666152,0.23956723338485317,0.18701700154559506,1.9876352395672334,0.839622641509434,-792488.5455284552
u0020,0,56.0,315.0,22.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,274.0,26.0,1.0,0.0,0.0,313.0,0.0,2.0,112.0,203.0,315.0,315.0,8.0,76.0,6.0,0.0,0.0,4.0,12.0,0.0,60.0,0.0,0.0,0.0,11.0,65.0,163,883,47.56606592575317,648.0,3.0,18.52887882219705,16361.0,57410.47636229528,764202.0,0.0,3470.0,21254.482446206115,18767708.0,1501043.635923527,44185367.0,0.0,2918.0,99577.13023782561,87926606.0,3777547.3636669405,95287165.0,0.0,4761.0,564815.6432616082,498732213.0,-0.7105263157894737,-0.28888888888888886,0.17777777777777778,0.08253968253968254,1.9873015873015873,0.7894736842105263,-465238.5130237826
u0021,0,7.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,16.0,19.0,19.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2,1,,1.0,1.0,1.0,1.0,,5606.0,5606.0,5606.0,5606.0,5606.0,,1544.0,1544.0,1544.0,1544.0,1544.0,,1942.0,1942.0,1942.0,1942.0,1942.0,-1.0,-0.6842105263157895,0.3684210526315789,0.10526315789473684,2.0,0.5,-398.0
u0022,0,6.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,2.0,20.0,0.0,5.0,17.0,22.0,22.0,3.0,39.0,3.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,19.0,0.0,1.0,38.0,136,548,107.7096193220621,1716.0,2.0,23.094890510948908,12656.0,162928.28982794238,2762246.0,0.0,2133.5,30442.266423357665,16682362.0,554735.8820514614,8539196.0,0.0,2366.5,91670.1313868613,50235232.0,6535089.632971372,116106651.0,0.0,4696.5,1061661.3120437956,581790399.0,-0.9487179487179487,-0.5454545454545454,0.2727272727272727,0.045454545454545456,0.18181818181818182,0.9743589743589743,-969991.1806569343
u0023,0,4.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,20.0,12.0,0.0,5.0,27.0,32.0,32.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,56,385,60.928461617416,469.0,6.0,29.187012987012988,11237.0,101364.25486031607,782684.0,0.0,9575.0,45610.84415584416,17560175.0,266769.9727592686,2308126.0,0.0,9602.0,92318.70129870131,35542700.0,1052509.3228267173,13331383.0,0.0,20875.0,347743.225974026,133881142.0,1.0,-0.6875,0.125,0.0625,1.25,0.0,-255424.5246753247
u0024,0,143.0,653.0,37.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,613.0,34.0,2.0,0.0,0.0,615.0,11.0,27.0,254.0,399.0,653.0,653.0,10.0,184.0,6.0,0.0,0.0,0.0,14.0,1.0,168.0,0.0,0.0,1.0,61.0,123.0,194,1388,55.767400739254704,605.0,3.0,22.45461095100865,31167.0,74468.70287280838,969300.0,0.0,4056.5,27606.825648414986,38318274.0,3018940.64168698,112045080.0,0.0,4494.5,149524.9704610951,207540659.0,4378021.346700491,121888235.0,0.0,6920.0,568931.1469740635,789676432.0,-0.33695652173913043,-0.222052067381317,0.21898928024502298,0.05206738131699847,1.883614088820827,0.9130434782608695,-419406.1765129684
u0025,0,181.0,723.0,35.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,698.0,21.0,0.0,0.0,0.0,526.0,81.0,116.0,350.0,373.0,723.0,723.0,24.0,203.0,18.0,2.0,0.0,0.0,15.0,0.0,186.0,0.0,0.0,0.0,28.0,175.0,138,759,96.76511704304636,857.0,4.0,37.015810276679844,28095.0,113315.30886242859,1134966.0,0.0,4762.0,40247.04611330698,30547508.0,318935.0987306882,3899084.0,0.0,4660.0,92464.28985507246,70180396.0,5898611.873903901,84972050.0,0.0,7055.0,1258904.1765480896,955508270.0,-0.7241379310344828,-0.0318118948824343,0.2503457814661134,0.029045643153526972,1.4550484094052558,0.916256157635468,-1166439.886693017
u0026,0,61.0,521.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,517.0,3.0,0.0,0.0,0.0,465.0,1.0,55.0,277.0,244.0,521.0,521.0,23.0,134.0,14.0,0.0,0.0,5.0,1.0,7.0,121.0,0.0,0.0,0.0,46.0,88.0,284,1228,79.98953635338289,1168.0,3.0,24.15390879478827,29661.0,107807.57184258092,1640801.0,0.0,4005.0,30146.064332247555,37019367.0,2545748.6982796174,58814585.0,0.0,2831.5,199689.5578175896,245218777.0,6998707.457710076,211787916.0,0.0,4468.0,649517.6229641694,797607641.0,-0.31343283582089554,0.06333973128598848,0.11708253358925144,0.005758157389635317,1.7850287907869482,0.9029850746268657,-449828.06514657976
u0027,0,265.0,1618.0,44.0,0.0,7.0,0.0,0.0,8.0,2.0,5.0,1459.0,137.0,0.0,0.0,0.0,1475.0,130.0,13.0,845.0,773.0,1618.0,1618.0,22.0,121.0,15.0,0.0,0.0,0.0,12.0,0.0,109.0,0.0,0.0,0.0,31.0,90.0,274,1865,60.22069968835198,719.0,3.0,20.578016085790885,38378.0,73275.53281866113,943633.0,0.0,3317.0,23760.59731903485,44313514.0,217982.9385052186,6227581.0,0.0,2944.0,43969.21769436997,82002591.0,1646319.513237989,40967804.0,0.0,4338.0,274771.1179624665,512448135.0,-0.48760330578512395,0.04449938195302843,0.16378244746600742,0.08467243510506799,1.823238566131026,0.9008264462809917,-230801.90026809654
u0028,0,42.0,323.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,286.0,34.0,0.0,0.0,0.0,219.0,34.0,70.0,133.0,190.0,323.0,323.0,8.0,96.0,5.0,0.0,0.0,4.0,12.0,0.0,32.0,48.0,0.0,0.0,4.0,92.0,101,714,93.10172899684437,1039.0,5.0,33.810924369747895,24141.0,148020.16419607511,2001972.0,0.0,6631.5,48457.6456582633,34598759.0,5265766.711298051,70250683.0,0.0,5448.5,718733.6484593838,513175825.0,20909742.64285529,505603302.0,0.0,4745.0,2196650.219887955,1568408257.0,-0.9166666666666666,-0.17647058823529413,0.13003095975232198,0.10526315789473684,1.3560371517027863,0.3333333333333333,-1477916.5714285714
u0029,0,11.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,10.0,2.0,1.0,9.0,4.0,13.0,13.0,2.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,53.0,281,2507,279.17936010247695,4799.0,7.0,75.22018348623853,188577.0,363075.411304672,7087659.0,0.0,8394.0,95069.21579577183,238338524.0,2335444.415743924,37979760.0,0.0,10348.0,399054.1324291983,1000428710.0,91547053.10765503,1583538376.0,0.0,14458.0,10838947.810929397,27173242162.0,-1.0,0.38461538461538464,0.8461538461538461,0.07692307692307693,1.5384615384615385,0.018867924528301886,-10439893.6785002
u0030,0,30.0,62.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,54.0,2.0,0.0,0.0,0.0,48.0,10.0,4.0,30.0,32.0,62.0,62.0,13.0,49.0,7.0,0.0,0.0,6.0,0.0,14.0,28.0,0.0,0.0,1.0,11.0,38.0,272,1505,120.42791959559868,1930.0,4.0,40.950166112956815,61630.0,185137.78309215265,3159718.0,0.0,5648.0,59637.39800664452,89754284.0,4352322.989027979,103722019.0,0.0,8021.0,629228.1401993355,946988351.0,85056629.42311741,1814024063.0,0.0,16190.0,13964191.417275747,21016108083.0,-0.5510204081632653,-0.03225806451612903,0.4838709677419355,0.03225806451612903,1.5483870967741935,0.5714285714285714,-13334963.277076412
u0031,0,45.0,284.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,270.0,12.0,0.0,0.0,0.0,283.0,1.0,0.0,147.0,137.0,284.0,284.0,11.0,166.0,8.0,0.0,0.0,2.0,15.0,0.0,61.0,88.0,0.0,0.0,10.0,156.0,264,2001,42.954311687579434,540.0,4.0,17.818090954522738,35654.0,52725.00082509032,643657.0,0.0,4410.0,21434.82908545727,42891093.0,441883.3675576891,13165472.0,0.0,5250.0,82154.96501749125,164392085.0,5206865.959722765,185460119.0,0.0,11261.0,622433.9535232384,1245490341.0,-0.8795180722891566,0.035211267605633804,0.15845070422535212,0.04225352112676056,1.9929577464788732,0.3674698795180723,-540278.9885057472
u0032,0,269.0,525.0,45.0,0.0,10.0,0.0,0.0,4.0,0.0,3.0,493.0,15.0,0.0,0.0,0.0,518.0,3.0,4.0,139.0,386.0,525.0,525.0,43.0,358.0,25.0,2.0,0.0,2.0,18.0,0.0,334.0,1.0,0.0,1.0,92.0,266.0,283,2178,65.65157514836143,1098.0,4.0,22.256657483930205,48475.0,79581.87272986384,1787500.0,0.0,4344.5,26212.577134986226,57090993.0,725720.2617201305,21177805.0,0.0,5775.5,105826.68411386594,230490518.0,30845567.292827554,1291213617.0,0.0,10630.5,1883513.2493112946,4102291857.0,-0.4860335195530726,-0.4704761904761905,0.5123809523809524,0.02857142857142857,1.9733333333333334,0.9329608938547486,-1777686.5651974287
u0033,0,41.0,275.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,273.0,1.0,0.0,0.0,0.0,270.0,4.0,1.0,165.0,110.0,275.0,275.0,5.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,11.0,9.0,185,768,400.5266835188401,4297.0,4.0,93.57421875,71865.0,597438.7649401859,5576215.0,0.0,6491.5,146670.17317708337,112642693.0,3361361.5282851537,81316567.0,0.0,6836.0,439383.69270833326,337446676.0,23741092.69794833,382298092.0,0.0,9333.0,3608035.13671875,2770970985.0,0.1,0.2,0.14909090909090908,0.0036363636363636364,1.9636363636363636,1.0,-3168651.444010417
u0034,0,236.0,2222.0,35.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2203.0,13.0,0.0,0.0,0.0,2175.0,10.0,37.0,1033.0,1189.0,2222.0,2222.0,10.0,36.0,7.0,0.0,0.0,3.0,8.0,1.0,24.0,0.0,0.0,0.0,9.0,27.0,159,1366,82.05311840260279,926.0,5.5,30.595900439238648,41794.0,99739.35838824326,1122767.0,0.0,5541.0,35905.752562225476,49047258.0,458633.2710010581,14084693.0,0.0,5303.5,78993.51976573939,107905148.0,9974466.35574046,200529607.0,0.0,8986.5,1388331.0102489018,1896460160.0,-0.5,-0.0702070207020702,0.10621062106210621,0.0058505850585058505,1.9576957695769577,0.6666666666666666,-1309337.4904831625
u0035,0,8.0,13.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,9.0,4.0,13.0,13.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1,0,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,-0.5,0.38461538461538464,0.6153846153846154,0.0,1.3846153846153846,0.5,
u0036,0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.0,0.0,0.0,33.0,3,4,0.5,2.0,1.0,1.25,5.0,286.3942504078367,581.0,0.0,12.5,151.5,606.0,688.2113895211752,1554.0,61.0,988.0,897.75,3591.0,17442.926407763884,36700.0,53.0,3526.5,10951.5,43806.0,-1.0,-1.0,0.8,0.0,2.0,1.0,-10053.75
